Region,Site,Node,Year,RepresentivityRating,Flow,TSS,TN,PN,NOX,NH4,DIN,DON,TP,PP,DIP,DOP,Site Code,Display Name
FI,Mackenzie River at Rileys Crossing,GS130113A,2023-2024,Good,430000,98000,840,520,120,7.5,130,200,540,440,95,5.5,130113A,130113A Mackenzie River at Rileys Crossing
FI,Theresa Creek at Gregory Highway,GS130206A,2007-2008,,1534545,,,,,,,,,,,,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2008-2009,,81944,,,,,,,,,,,,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2009-2010,,281165,,,,,,,,,,,,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2010-2011,Indicative,1272881,331900,1277,645,68,20,87,427,483,256,163,28,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2011-2012,Moderate,497594,89145,396,184,29,5,33,177,169,96,59,14,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2012-2013,,95770,,,,,,,,,,,,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2014-2015,Moderate,91602,81000,140,96,5.6,1,6.6,37,63,48,11,3.4,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2015-2016,Good,72896,120000,150,110,8.1,0.72,8.8,26,74,65,7.6,1.7,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2016-2017,Good,159775,160000,370,190,99,2.8,100,77,140,110,28,5.7,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2017-2018,Moderate,59000,110000,130,82,18,0.44,19,31,54,47,5.6,1.6,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2018-2019,Good,72000,64000,170,110,27,0.59,27,32,61,51,7.8,2.2,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2019-2020,Good,43000,46000,100,78,8,0.23,8.3,17,43,39,3.6,0.46,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2020-2021,Good,98000,83000,240,150,41,1,42,42,87,75,11,1.1,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2021-2022,Excellent,440000,420000,780,530,73,3.4,76,170,330,270,49,5.3,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2022-2023,Excellent,400000,140000,520,260,81,3,84,170,180,120,62,7.7,130206A,130206A Theresa Creek at Gregory Highway
FI,Theresa Creek at Gregory Highway,GS130206A,2023-2024,Good,60000,7200,91,40,15,0.75,15,35,38,19,18,0.83,130206A,130206A Theresa Creek at Gregory Highway
MW,Andromach River at Jochheims,gauge_124003A_AndromacheRvJochheims,2007-2008,Indicative,176918,43857,231,155,12,2,14,63,62,52,12,2,124003A,124003A Andromach River at Jochheims
MW,Andromach River at Jochheims,gauge_124003A_AndromacheRvJochheims,2008-2009,Moderate,92611,28941,117,82,6,1,7,28,29,23,5,1,124003A,124003A Andromach River at Jochheims
MW,Blacks Creek at Whitefords,gauge_125005A_BlacksCkWhitefords,2007-2008,Indicative,329560,82778,429,184,23,11,34,211,90,65,22,4,125005A,125005A Blacks Creek at Whitefords
MW,Blacks Creek at Whitefords,gauge_125005A_BlacksCkWhitefords,2008-2009,Moderate,235953,79466,322,226,25,3,27,68,86,76,9,3,125005A,125005A Blacks Creek at Whitefords
MW,Cattle Ck at Gargett,extraction_CattleCkGargett_125004A,2006-2007,Good,495496,147301,1022,630,144,4,148,244,202,167,34,5,125004A,125004A Cattle Ck at Gargett
MW,Cattle Ck at Gargett,extraction_CattleCkGargett_125004A,2007-2008,Indicative,574467,27359,473,60,100,25,125,312,55,34,19,6,125004A,125004A Cattle Ck at Gargett
MW,Cattle Ck at Gargett,extraction_CattleCkGargett_125004A,2008-2009,Moderate,424007,229608,803,558,77,6,83,162,182,149,27,7,125004A,125004A Cattle Ck at Gargett
MW,O'Connell River at Caravan Park,Outlet Node12,2007-2008,Indicative,630539,141778,783,483,48,16,64,236,175,155,25,6,1240062,1240062 O'Connell River at Caravan Park
MW,O'Connell River at Caravan Park,Outlet Node12,2008-2009,Good,400976,156229,561,378,26,21,26,21,47,103,20,4,1240062,1240062 O'Connell River at Caravan Park
MW,O'Connell River at Caravan Park,Outlet Node12,2013-2014,Moderate,182099,8532,194,79,12,32,45,70,40,28,7.2,3.9,1240062,1240062 O'Connell River at Caravan Park
MW,O'Connell River at Caravan Park,Outlet Node12,2014-2015,Good,44345,12000,77,46,4.9,3.3,8.2,23,11,9.2,0.78,0.61,1240062,1240062 O'Connell River at Caravan Park
MW,O'Connell River at Caravan Park,Outlet Node12,2015-2016,Good,58338,9900,78,39,9.4,4,13,26,12,8.8,1.4,1.6,1240062,1240062 O'Connell River at Caravan Park
MW,O'Connell River at Caravan Park,Outlet Node12,2016-2017,Excellent,450407.4084,130000,610,400,15,16,31,180,120,100,8.2,6.6,1240062,1240062 O'Connell River at Caravan Park
MW,O'Connell River at Caravan Park,Outlet Node12,2017-2018,Excellent,150000,14000,110,51,7.1,3.1,10,51,17,12,2.5,3,1240062,1240062 O'Connell River at Caravan Park
MW,O'Connell River at Caravan Park,Outlet Node12,2018-2019,Excellent,860000,110000,740,340,110,35,140,260,180,110,56,12,1240062,1240062 O'Connell River at Caravan Park
MW,O'Connell River at Caravan Park,Outlet Node12,2019-2020,Good,140000,16000,180,58,47,3.4,50,67,20,13,5.3,1.4,1240062,1240062 O'Connell River at Caravan Park
MW,O'Connell River at Caravan Park,Outlet Node12,2020-2021,Excellent,180000,7200,300,61,120,24,150,96,50,15,31,5.1,1240062,1240062 O'Connell River at Caravan Park
MW,O'Connell River at Caravan Park,Outlet Node12,2021-2022,Excellent,120000,13000,130,57,11,3.1,14,58,17,12,3.4,2.1,1240062,1240062 O'Connell River at Caravan Park
MW,O'Connell River at Caravan Park,Outlet Node12,2022-2023,Excellent,430000,45000,420,190,41,37,78,160,110,48,61,5.3,1240062,1240062 O'Connell River at Caravan Park
MW,O'Connell River at Caravan Park,Outlet Node12,2023-2024,Excellent,130000,7800,140,59,18,6.1,24,54,19,12,5.5,1.9,1240062,1240062 O'Connell River at Caravan Park
MW,O'Connell River at Stafford's Crossing,gauge_124001B_OConnellRvStaffordsCrossing,2006-2007,Indicative,180061,24781,173,43,24,4,29,101,15,8,6,2,124001B,124001B O'Connell River at Stafford's Crossing
MW,O'Connell River at Stafford's Crossing,gauge_124001B_OConnellRvStaffordsCrossing,2007-2008,Moderate,258792,53727,224,100,13,5,18,107,27,20,5,3,124001B,124001B O'Connell River at Stafford's Crossing
MW,O'Connell River at Stafford's Crossing,gauge_124001B_OConnellRvStaffordsCrossing,2008-2009,Good,192649,33674,139,79,7,2,8,52,15,12,3,2,124001B,124001B O'Connell River at Stafford's Crossing
MW,O'Connell River at Stafford's Crossing,gauge_124001B_OConnellRvStaffordsCrossing,2016-2017,Excellent,223992.7322,68000,370,260,13,7.5,20,88,72,61,6.6,3.2,124001B,124001B O'Connell River at Stafford's Crossing
MW,O'Connell River at Stafford's Crossing,gauge_124001B_OConnellRvStaffordsCrossing,2017-2018,Excellent,71000,9400,67,32,4.8,0.83,5.6,27,9.9,7.5,1.1,1.2,124001B,124001B O'Connell River at Stafford's Crossing
MW,O'Connell River at Stafford's Crossing,gauge_124001B_OConnellRvStaffordsCrossing,2018-2019,Excellent,330000,60000,290,160,40,2.7,43,92,64,49,10,3.6,124001B,124001B O'Connell River at Stafford's Crossing
MW,O'Connell River at Stafford's Crossing,gauge_124001B_OConnellRvStaffordsCrossing,2019-2020,Excellent,85000,13000,93,39,12,1,13,41,12,8.9,2.4,0.92,124001B,124001B O'Connell River at Stafford's Crossing
MW,O'Connell River at Stafford's Crossing,gauge_124001B_OConnellRvStaffordsCrossing,2020-2021,Excellent,59000,4300,49,20,6.3,0.6,6.9,23,5.5,4.1,1.1,0.88,124001B,124001B O'Connell River at Stafford's Crossing
MW,O'Connell River at Stafford's Crossing,gauge_124001B_OConnellRvStaffordsCrossing,2021-2022,Excellent,46000,4100,42,17,2.9,1,4,21,5.6,4.1,0.95,0.82,124001B,124001B O'Connell River at Stafford's Crossing
MW,O'Connell River at Stafford's Crossing,gauge_124001B_OConnellRvStaffordsCrossing,2022-2023,Excellent,210000,32000,170,100,13,2,15,56,30,23,5.5,2.1,124001B,124001B O'Connell River at Stafford's Crossing
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2006-2007,Good,884963,126954,851,348,160,46,206,291,161,123,35,10,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2007-2008,Excellent,1364326,252492,1357,777,138,36,174,405,314,250,62,17,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2008-2009,Good,927461,155739,1013,610,98,17,115,289,227,179,44,12,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2009-2010,Good,1326065,373818,1929,962,420,57,477,372,488,267,84,10,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2010-2011,Excellent,3372934,819023,4098,2748,548,95,643,711,1013,816,109,100,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2011-2012,Excellent,1216712,210830,1295,822,195,31,226,245,302,245,37,27,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2012-2013,Excellent,1247976,131796,1046,507,210,43,253,288,206,157,45,13,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2013-2014,Excellent,581628,35372,635,205,228,29,258,174,86,54,25,8.9,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2014-2015,Good,131108.4835,3600,120,35,31,11,42,43,14,7.1,5.3,1.7,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2015-2016,Excellent,437524,44000,500,200,110,30,140,160,88,54,23,9.3,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2016-2017,Good,1377368.769,110000,1400,430,370,81,450,500,240,150,65,25,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2017-2018,Excellent,230000,7000,170,45,39,15,55,69,26,15,8.1,3.4,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2018-2019,Excellent,970000,55000,920,240,350,49,400,270,140,78,46,14,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2019-2020,Excellent,430000,22000,360,110,95,24,120,140,59,36,19,4.6,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2020-2021,Excellent,220000,3200,180,32,59,8.6,68,82,25,11,13,3.6,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2021-2022,Excellent,200000,2900,110,29,20,6.6,27,57,18,9.4,6.9,2.5,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2022-2023,Excellent,710000,100000,,,97,36,130,220,,,36,7.7,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2022-2023,Good,710000,,850,500,,,,,180,130,,,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Pioneer River at Dumbleton Pump Station Headwater,gauge_125013A_PioneerRvDumbletonPumpStation,2023-2024,Excellent,540000,5900,320,94,63,15,78,150,54,23,25,7.6,125013A,125013A Pioneer River at Dumbleton Pump Station Headwater
MW,Plane Creek at Sucrogen Weir,gauge_1260122_PlaneCkSucrogenWeir,2017-2018,Good,5200,170,4,1.3,0.49,0.19,0.68,2.1,0.87,0.37,0.38,0.12,1260122,1260122 Plane Creek at Sucrogen Weir
MW,Plane Creek at Sucrogen Weir,gauge_1260122_PlaneCkSucrogenWeir,2018-2019,Excellent,56000,3400,54,22,8.9,1.1,10,21,11,5.4,3.9,1.4,1260122,1260122 Plane Creek at Sucrogen Weir
MW,Plane Creek at Sucrogen Weir,gauge_1260122_PlaneCkSucrogenWeir,2019-2020,Good,38000,6300,55,33,4.1,0.56,4.6,18,13,8.2,4.2,0.83,1260122,1260122 Plane Creek at Sucrogen Weir
MW,Plane Creek at Sucrogen Weir,gauge_1260122_PlaneCkSucrogenWeir,2020-2021,Good,14000,710,14,5.5,1.6,0.29,1.9,6.5,3.2,1.3,1.5,0.39,1260122,1260122 Plane Creek at Sucrogen Weir
MW,Plane Creek at Sucrogen Weir,gauge_1260122_PlaneCkSucrogenWeir,2021-2022,Excellent,22000,1400,26,11,3.8,0.42,4.2,11,6.7,3,3,0.7,1260122,1260122 Plane Creek at Sucrogen Weir
MW,Plane Creek at Sucrogen Weir,gauge_1260122_PlaneCkSucrogenWeir,2022-2023,Excellent,43000,2100,35,14,4.2,0.65,4.8,16,8.7,3.4,4.7,0.7,1260122,1260122 Plane Creek at Sucrogen Weir
MW,Plane Creek at Sucrogen Weir,gauge_1260122_PlaneCkSucrogenWeir,2023-2024,Excellent,30000,5200,65,41,5.6,1.3,6.9,18,14,8.7,4.1,0.82,1260122,1260122 Plane Creek at Sucrogen Weir
MW,Proserpine River at Glen Isla,gauge_122013A_ProserpineRvGlenIsla,2016-2017,Excellent,573606.3978,94000,570,290,84,15,99,180,170,100,53,11,122013A,122013A Proserpine River at Glen Isla
MW,Proserpine River at Glen Isla,gauge_122013A_ProserpineRvGlenIsla,2017-2018,Excellent,160000,36000,190,81,30,6.5,36,70,54,34,17,4.3,122013A,122013A Proserpine River at Glen Isla
MW,Proserpine River at Glen Isla,gauge_122013A_ProserpineRvGlenIsla,2018-2019,Excellent,310000,54000,380,130,85,18,100,140,88,48,31,7.7,122013A,122013A Proserpine River at Glen Isla
MW,Proserpine River at Glen Isla,gauge_122013A_ProserpineRvGlenIsla,2019-2020,Excellent,130000,30000,210,71,57,8.4,65,74,44,28,14,2.2,122013A,122013A Proserpine River at Glen Isla
MW,Proserpine River at Glen Isla,gauge_122013A_ProserpineRvGlenIsla,2020-2021,Excellent,250000,56000,360,160,64,11,75,130,100,63,29,8.3,122013A,122013A Proserpine River at Glen Isla
MW,Proserpine River at Glen Isla,gauge_122013A_ProserpineRvGlenIsla,2021-2022,Good,210000,66000,330,130,78,8.7,86,110,80,53,24,3.8,122013A,122013A Proserpine River at Glen Isla
MW,Proserpine River at Glen Isla,gauge_122013A_ProserpineRvGlenIsla,2022-2023,Good,270000,28000,260,86,44,10,54,120,72,35,31,4.8,122013A,122013A Proserpine River at Glen Isla
MW,Proserpine River at Glen Isla,gauge_122013A_ProserpineRvGlenIsla,2023-2024,Good,87000,19000,110,51,11,3.9,15,46,31,20,9.3,1.8,122013A,122013A Proserpine River at Glen Isla
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2009-2010,Good,364569,37814,397,179,81,5,86,131,97,66,37,5,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2010-2011,Excellent,627058,63116,586,263,65,20,85,240,158,79,66,19,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2011-2012,Good,351376,31359,255,150,20,3,24,81,108,54,47,9,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2012-2013,Good,264897,11333,200,63,38,3.6,42,96,53,19,32,4.2,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2013-2014,Excellent,93818,15060,157,51,46,3.9,50,56,29,15,11,2.7,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2014-2015,Excellent,32745.8268,4400,62,19,21,1.3,22,22,12,5.5,5.8,1.1,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2015-2016,Excellent,93177,8400,140,40,36,2.5,39,59,31,12,16,3.8,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2016-2017,Excellent,346423.5756,55000,390,200,44,8,52,150,120,74,37,9.2,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2017-2018,Excellent,34000,3400,53,16,13,1.1,14,22,12,5.6,5,1.4,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2018-2019,Excellent,160000,13000,190,66,33,3.6,36,89,48,21,21,5.8,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2019-2020,Excellent,120000,12000,150,55,30,1.8,32,63,34,17,14,2.6,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2020-2021,Excellent,55000,4600,90,21,26,1.4,28,41,18,7,9.3,1.9,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2021-2022,Excellent,29000,1700,40,9,11,0.65,11,19,9.3,3.8,4.4,1,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2022-2023,Excellent,180000,11000,200,58,48,2.4,51,93,54,19,31,3.3,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek at Homebush,gauge_126001A_SandyCkHomebush,2023-2024,Good,59000,5200,98,33,18,1.5,20,44,24,12,10,2,126001A,126001A Sandy Creek at Homebush
MW,Sandy Creek South Branch at Downstream Sorbellos Road,,2021-2022,Excellent,3600,950,8.6,4.1,1.7,0.13,1.8,2.7,2.3,1.4,0.83,0.16,1260117,1260117 Sandy Creek South Branch at Downstream Sorbellos Road
MW,Sandy Creek South Branch at Downstream Sorbellos Road,,2022-2023,Good,32000,12000,96,39,29,2,31,26,21,11,9.2,0.86,1260117,1260117 Sandy Creek South Branch at Downstream Sorbellos Road
WT,Barron River at Myola,BR04,2006-2007,Moderate,470249,69280,398,217,26,5,31,151,50,39,6,7,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2007-2008,Excellent,1582454,383139,1832,1120,83,13,95,617,298,255,25,21,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2008-2009,Excellent,781075,305969,893,527,27,7,34,364,133,126,4,8,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2009-2010,Good,532775,174425,827,594,43,7,50,187,147,135,10,5,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2010-2011,Excellent,1863908,365844,2087,1505,86,25,111,471,410,357,22,50,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2011-2012,Good,767359,164146,893,592,47,7,54,253,143,121,6,18,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2012-2013,Excellent,364992,99116,455,272,37,6.9,44,140,83,72,8,3.7,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2013-2014,Excellent,558821,108241,625,422,22,11,33,168,57,38,1.5,19,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2014-2015,Excellent,382072.4773,47000,290,150,38,6.8,45,96,41,37,2.6,4.2,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2015-2016,Good,175738,14000,130,46,20,2.6,23,65,12,9.4,1,1.8,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2016-2017,Excellent,274288.3427,110000,470,400,8.4,4.4,13,110,67,78,2,3.8,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2017-2018,Excellent,760000,190000,830,510,38,8.9,47,280,120,100,4.1,12,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2018-2019,Excellent,1300000,170000,910,470,100,19,120,320,120,100,8,13,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2019-2020,Excellent,300000,36000,220,98,26,4.4,30,86,29,25,2.2,4.3,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2020-2021,Excellent,460000,50000,380,160,43,8,51,160,49,33,5.6,12,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2021-2022,Excellent,500000,45000,370,150,50,18,66,140,46,34,4.5,11,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2022-2023,Excellent,960000,76000,720,320,110,9.3,120,270,90,71,13,11,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2023-2024,Good,2800000,670000,3200,,,,,,510,,,,110001D,110001D Barron River at Myola
WT,Barron River at Myola,BR04,2023-2024,Moderate,2800000,,,1900,330,110,440,890,,420,44,58,110001D,110001D Barron River at Myola
WT,Daintree River at Lower Daintree,1080025,2017-2018,Excellent,1800000,190000,1200,660,110,29,140,350,170,150,6.3,18,1080025,1080025 Daintree River at Lower Daintree
WT,Daintree River at Lower Daintree,1080025,2018-2019,Excellent,3700000,420000,2100,1300,270,62,330,520,300,260,14,37,1080025,1080025 Daintree River at Lower Daintree
WT,Daintree River at Lower Daintree,1080025,2019-2020,Excellent,770000,93000,580,310,95,14,110,180,74,64,3.3,10,1080025,1080025 Daintree River at Lower Daintree
WT,Daintree River at Lower Daintree,1080025,2020-2021,Excellent,1500000,55000,600,260,91,25,120,230,78,58,5.8,20,1080025,1080025 Daintree River at Lower Daintree
WT,Daintree River at Lower Daintree,1080025,2021-2022,Excellent,1700000,110000,850,450,120,25,140,260,110,92,6.2,21,1080025,1080025 Daintree River at Lower Daintree
WT,Daintree River at Lower Daintree,1080025,2022-2023,Excellent,2800000,260000,1600,940,190,39,230,430,180,150,12,29,1080025,1080025 Daintree River at Lower Daintree
WT,Daintree River at Lower Daintree,1080025,2023-2024,Excellent,4700000,860000,3100,2100,350,110,460,540,530,480,13,51,1080025,1080025 Daintree River at Lower Daintree
WT,Herbert River at Ingham,HE05,2006-2007,Good,4350993,683986,2500,1483,231,23,254,762,513,361,52,108,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at Ingham,HE05,2007-2008,,3312560,5650,1144,171,577,11,588,199,35,33,15,33,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at Ingham,HE05,2008-2009,,9495201,19948,3708,461,1952,61,2013,822,95,95,43,95,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at Ingham,HE05,2009-2010,Excellent,2962209,336382,2175,916,287,49,336,941,337,223,32,92,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at Ingham,HE05,2010-2011,Good,11451334,1571603,8878,4867,1243,147,1390,2678,1454,1187,123,306,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at Ingham,HE05,2011-2012,Good,4096068,160832,3108,836,1218,39,1256,894,273,197,28,86,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at Ingham,HE05,2012-2013,Good,2951239,379457,3335,1058,1466,63,1529,751,313,250,45,32,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at Ingham,HE05,2013-2014,Excellent,3971973,386721,2609,1142,705,57,762,688,367,334,25,40,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at Ingham,HE05,2014-2015,Good,994666.2322,59000,550,180,140,14,160,210,41,33,3.8,10,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at Ingham,HE05,2015-2016,Good,1565005,58000,840,230,250,23,270,350,74,57,11,16,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at Ingham,HE05,2016-2017,Good,2313392.366,80000,1100,310,240,35,270,510,110,77,12,33,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at John Row Bridge,HE05,2017-2018,Good,5000000,480000,3000,1000,420,42,450,1500,410,350,20,52,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at John Row Bridge,HE05,2018-2019,Excellent,5100000,360000,2900,1100,780,56,830,890,320,260,34,51,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at John Row Bridge,HE05,2019-2020,Good,1400000,38000,640,130,210,13,220,290,55,42,9.7,15,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at John Row Bridge,HE05,2020-2021,Excellent,5700000,530000,3500,1400,600,44,640,1500,510,410,48,75,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at John Row Bridge,HE05,2021-2022,Excellent,2700000,150000,1300,460,280,18,300,510,140,110,21,34,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at John Row Bridge,HE05,2022-2023,Excellent,4200000,190000,2100,840,340,26,370,870,240,180,31,50,1160119,1160119 Herbert River at John Row Bridge
WT,Herbert River at John Row Bridge,HE05,2023-2024,Moderate,7000000,520000,3800,1600,480,36,510,1700,530,370,64,130,1160119,1160119 Herbert River at John Row Bridge
WT,Johnstone River at Coquette Point,1120054,2015-2016,Good,2244576,78000,740,300,200,57,260,180,210,130,10,75,1120054,1120054 Johnstone River at Coquette Point
WT,Johnstone River at Coquette Point,1120054,2016-2017,Excellent,3273490.379,180000,1600,750,370,95,460,350,430,330,20,93,1120054,1120054 Johnstone River at Coquette Point
WT,Johnstone River at Coquette Point,1120054,2017-2018,Excellent,2900000,210000,1400,730,300,73,370,330,430,360,14,67,1120054,1120054 Johnstone River at Coquette Point
WT,Johnstone River at Coquette Point,1120054,2018-2019,Excellent,3500000,86000,1200,390,430,110,550,290,170,130,13,53,1120054,1120054 Johnstone River at Coquette Point
WT,Johnstone River at Coquette Point,1120054,2019-2020,Excellent,2300000,80000,760,290,240,45,290,190,140,100,10,37,1120054,1120054 Johnstone River at Coquette Point
WT,Johnstone River at Coquette Point,1120054,2020-2021,Excellent,3200000,98000,1200,380,360,53,410,390,210,150,19,62,1120054,1120054 Johnstone River at Coquette Point
WT,Johnstone River at Coquette Point,1120054,2021-2022,Excellent,3500000,210000,2200,1000,580,110,690,560,440,380,28,57,1120054,1120054 Johnstone River at Coquette Point
WT,Johnstone River at Coquette Point,1120054,2022-2023,Good,3900000,150000,1600,700,390,110,510,380,260,220,20,43,1120054,1120054 Johnstone River at Coquette Point
